VIX,VIX_lag_7,VIX_lag_2,VIX_lag_4,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_2,GTITL2YR_lag_4,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_2,GTITL10YR_lag_4,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_2,GTITL30YR_lag_4,MXJP,MXJP_lag_7,MXJP_lag_2,MXJP_lag_4,MXEU,MXEU_lag_7,MXEU_lag_2,MXEU_lag_4,LP01TREU,LP01TREU_lag_7,LP01TREU_lag_2,LP01TREU_lag_4,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_2,LG30TRUU_lag_4,MXUS,MXUS_lag_7,MXUS_lag_2,MXUS_lag_4,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_2,LF98TRUU_lag_4,MXIN,MXIN_lag_7,MXIN_lag_2,MXIN_lag_4,EONIA,EONIA_lag_7,EONIA_lag_2,EONIA_lag_4
22.57,24.88,25.28,29.99,4.584,4.929,4.6,4.518,5.208,5.363,5.232,5.16,5.807,5.931,5.855,5.766,813.79,855.16,801.73,809.54,129.85,134.94,126.11,127.2,112.515,102.344,109.737,104.288,328.574,305.415,320.338,311.147,1301.87,1309.69,1259.71,1216.76,549.73,512.4,535.9,518.34,189.45,187.03,176.28,175.24,4.78,4.83,4.81,5.16
21.98,27.17,21.57,27.99,4.563,4.791,4.549,4.496,5.164,5.28,5.222,5.136,5.736,5.879,5.835,5.741,786.21,815.57,818.87,803.34,128.73,131.7,128.14,125.89,114.152,103.833,111.209,106.47,331.663,308.385,324.492,316.25,1281.55,1242.73,1288.41,1233.25,557.66,516.17,542.77,527.0,190.05,181.78,185.71,180.12,4.77,4.78,4.72,4.78
21.37,28.73,22.57,25.28,4.538,4.672,4.584,4.6,5.145,5.273,5.208,5.232,5.739,5.874,5.807,5.855,792.57,810.45,813.79,801.73,126.64,126.39,129.85,126.11,116.052,104.033,112.515,109.737,333.64,309.96,328.574,320.338,1247.08,1246.34,1301.87,1259.71,561.57,517.68,549.73,535.9,189.25,165.42,189.45,176.28,4.76,4.85,4.78,4.81
24.69,29.99,21.98,21.57,4.647,4.518,4.563,4.549,5.23,5.16,5.164,5.222,5.808,5.766,5.736,5.835,783.23,809.54,786.21,818.87,122.96,127.2,128.73,128.14,116.016,104.288,114.152,111.209,332.756,311.147,331.663,324.492,1213.2,1216.76,1281.55,1288.41,562.48,518.34,557.66,542.77,188.48,175.24,190.05,185.71,5.01,5.16,4.77,4.72
26.49,27.99,21.37,22.57,4.537,4.496,4.538,4.584,5.176,5.136,5.145,5.208,5.8,5.741,5.739,5.807,790.79,803.34,792.57,813.79,120.3,125.89,126.64,129.85,114.563,106.47,116.052,112.515,331.515,316.25,333.64,328.574,1194.62,1233.25,1247.08,1301.87,561.45,527.0,561.57,549.73,173.3,180.12,189.25,189.45,5.08,4.78,4.76,4.78
25.89,25.28,24.69,21.98,4.571,4.6,4.647,4.563,5.179,5.232,5.23,5.164,5.801,5.855,5.808,5.736,773.77,801.73,783.23,786.21,121.74,126.11,122.96,128.73,113.565,109.737,116.016,114.152,334.404,320.338,332.756,331.663,1186.59,1259.71,1213.2,1281.55,563.25,535.9,562.48,557.66,168.9,176.28,188.48,190.05,4.81,4.81,5.01,4.77
27.55,21.57,26.49,21.37,4.525,4.549,4.537,4.538,5.17,5.222,5.176,5.145,5.791,5.835,5.8,5.739,744.41,818.87,790.79,792.57,115.91,128.14,120.3,126.64,112.845,111.209,114.563,116.052,333.145,324.492,331.515,333.64,1134.13,1288.41,1194.62,1247.08,561.79,542.77,561.45,561.57,147.27,185.71,173.3,189.25,4.85,4.72,5.08,4.76
30.96,22.57,25.89,24.69,4.45,4.584,4.571,4.647,5.134,5.208,5.179,5.23,5.797,5.807,5.801,5.808,762.48,813.79,773.77,783.23,114.15,129.85,121.74,122.96,110.326,112.515,113.565,116.016,328.366,328.574,334.404,332.756,1080.08,1301.87,1186.59,1213.2,555.82,549.73,563.25,562.48,153.26,189.45,168.9,188.48,4.78,4.78,4.81,5.01
27.04,21.98,27.55,26.49,4.295,4.563,4.525,4.537,5.1,5.164,5.17,5.176,5.776,5.736,5.791,5.8,840.77,786.21,744.41,790.79,115.92,128.73,115.91,120.3,107.991,114.152,112.845,114.563,326.944,331.663,333.145,331.515,1120.32,1281.55,1134.13,1194.62,552.69,557.66,561.79,561.45,153.57,190.05,147.27,173.3,4.44,4.77,4.85,5.08
34.72,21.37,30.96,25.89,4.306,4.538,4.45,4.571,5.139,5.145,5.134,5.179,5.816,5.739,5.797,5.801,820.21,792.57,762.48,773.77,111.3,126.64,114.15,121.74,108.118,116.052,110.326,113.565,324.017,333.64,328.366,334.404,1048.65,1247.08,1080.08,1186.59,547.77,561.57,555.82,563.25,148.9,189.25,153.26,168.9,4.85,4.76,4.78,4.81
